//------------------------------------------------------------------------------
//
// Sistema de Informações Hidrológicas
// Versão Web 3.0
// © 2001 Agência Nacional de Águas (ANA)
//
// NivelConsistencia: 1 = Bruto, 2 = Consistido
// MediaDiaria: 0 = Não, 1 = Sim
// MetodoObtencaoVazoes: 1 = Curva de descarga, 2 = Transferência de vazões, 3 = Soma de vazões, 4 = ADCP
// Status: 0 = Branco, 1 = Real, 2 = Estimado, 3 = Duvidoso, 4 = Régua Seca
//
// Restrições da consulta:
//   Código da Estação: 65310000
//
//------------------------------------------------------------------------------

//EstacaoCodigo;NivelConsistencia;Data;Hora;MediaDiaria;MetodoObtencaoVazoes;Maxima;Minima;Media;DiaMaxima;DiaMinima;MaximaStatus;MinimaStatus;MediaStatus;MediaAnual;MediaAnualStatus;Vazao01;Vazao02;Vazao03;Vazao04;Vazao05;Vazao06;Vazao07;Vazao08;Vazao09;Vazao10;Vazao11;Vazao12;Vazao13;Vazao14;Vazao15;Vazao16;Vazao17;Vazao18;Vazao19;Vazao20;Vazao21;Vazao22;Vazao23;Vazao24;Vazao25;Vazao26;Vazao27;Vazao28;Vazao29;Vazao30;Vazao31;Vazao01Status;Vazao02Status;Vazao03Status;Vazao04Status;Vazao05Status;Vazao06Status;Vazao07Status;Vazao08Status;Vazao09Status;Vazao10Status;Vazao11Status;Vazao12Status;Vazao13Status;Vazao14Status;Vazao15Status;Vazao16Status;Vazao17Status;Vazao18Status;Vazao19Status;Vazao20Status;Vazao21Status;Vazao22Status;Vazao23Status;Vazao24Status;Vazao25Status;Vazao26Status;Vazao27Status;Vazao28Status;Vazao29Status;Vazao30Status;Vazao31Status;
65310000;2;01/05/1930;;1;1;;;;;;0;0;0;;0;;;;;;;;;;;;;;;;;;;;;;125,2;114;103,72;98,58;96,01;93,44;90,87;88,3;93,44;98,58;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;1;1;
65310000;2;01/06/1930;;1;1;103,72;70,3;86,04867;3;30;1;1;1;;0;101,15;98,58;103,72;98,58;93,44;90,87;88,3;86,05;86,05;83,8;81,55;79,3;79,3;77,05;88,3;93,44;93,44;90,87;90,87;88,3;88,3;86,05;83,8;81,55;79,3;77,05;74,8;74,8;72,55;70,3;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;;
65310000;2;01/07/1930;;1;1;142;68,05;96,12613;13;1;1;1;1;;0;68,05;68,05;68,05;70,3;74,8;74,8;77,05;81,55;88,3;108,86;130,8;139,2;142;136,4;130,8;128;125,2;122,4;111,43;103,72;96,01;93,44;88,3;86,05;83,8;83,8;83,8;79,3;79,3;79,3;77,05;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
65310000;2;01/08/1930;;1;1;596;65,8;175,1626;31;7;1;1;1;;0;74,8;72,55;72,55;70,3;68,05;68,05;65,8;70,3;72,55;79,3;88,3;88,3;88,3;86,05;93,44;156,5;296;264;276,8;314,6;296;283,2;264;245,4;202;183,4;165,2;147,8;186,5;394;596;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
65310000;2;01/09/1930;;1;1;699,4;125,2;281,2767;3;26;1;1;1;;0;651;688;699,4;684,2;596;506,6;447,2;387;327;302,2;264;239,2;202;189,6;171;159,4;153,6;147,8;142;139,2;133,6;130,8;130,8;128;128;125,2;130,8;142;144,9;147,8;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;;
65310000;2;01/10/1930;;1;1;;;;;;0;0;0;;0;153,6;159,4;183,4;233;339,8;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
65310000;2;01/11/1930;;1;1;;;;;;0;0;0;;0;;;;;;;;;;;;;;;;;336,6;311,5;292,8;273,6;267,2;264;257,8;254,7;251,6;248,5;245,4;239,2;233;226,8;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;;
65310000;2;01/12/1930;;1;1;547,4;198,9;332,029;17;8;1;1;1;;0;245,4;257,8;251,6;233;220,6;214,4;202;198,9;202;220,6;233;245,4;264;280;296;359;547,4;540,6;493;479,8;460;466,6;447,2;421,2;394;366;359;355,8;352,6;346,2;339,8;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
65310000;2;01/01/1931;;1;1;745;387;519,9645;17;1;1;1;1;;0;387;390,5;394;421,2;440,8;473,2;450,4;431,2;447,2;460;473,2;463,3;466,6;466,6;493;707;745;676,6;661,8;676,6;661,8;625,6;621,9;621,9;599,7;561;513,4;486,4;460;434,4;407,6;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
65310000;2;01/02/1931;;1;1;394;233;299,8821;14;23;1;1;1;;0;387;359;327;296;270,4;257,8;251,6;276,8;314,6;333,4;339,8;343;376,5;394;359;346,2;327;302,2;276,8;270,4;245,4;239,2;233;239,2;245,4;251,6;264;270,4;;;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;;
65310000;2;01/03/1931;;1;1;547,4;171;294,8322;10;31;1;1;1;;0;267,2;276,8;264;242,3;245,4;233;214,4;208,2;270,4;547,4;533,8;479,8;460;434,4;414,4;346,2;327;302,2;273,6;270,4;245,4;239,2;233;239,2;251,6;264;251,6;226,8;208,2;198,9;171;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
65310000;2;01/04/1931;;1;1;257,8;119,6;138,3;30;10;1;1;1;;0;165,2;159,4;153,6;147,8;136,4;133,6;130,8;125,2;125,2;119,6;119,6;122,4;125,2;125,2;125,2;125,2;125,2;125,2;125,2;122,4;122,4;125,2;125,2;125,2;125,2;125,2;125,2;159,4;220,6;257,8;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;;
65310000;2;01/05/1931;;1;1;1268;493;808,7968;4;1;1;1;1;;0;493;1052,5;1250;1268;1234;1130;1039;973,2;865;760,6;691,8;618,2;582;610,8;691,8;699,4;633;618,2;669;772,3;832,2;840,4;808;792;764,5;816;768,4;745;741,2;676,6;636,6;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
65310000;2;01/06/1931;;1;1;1453;493;950,9767;13;6;1;1;1;;0;603,4;582;575;547,4;516,8;493;499,8;540,6;554,2;582;990;1345;1453;1453;1443,4;1325;1268;1242;1206;1182;1150;1115,5;1093;1039;981,6;964,8;956,4;981,6;948;897,8;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;;
65310000;2;01/07/1931;;1;1;922,8;339,8;638,7516;5;29;1;1;1;;0;848,6;824;784;768,4;922,8;906;824;808;873,2;865;840,4;824;808;784;737,4;691,8;661,8;625,6;575;533,8;499,8;469,9;440,8;414,4;387;359;352,6;346,2;339,8;339,8;346,2;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
65310000;2;01/08/1931;;1;1;440,8;202;309,0871;12;28;1;1;1;;0;352,6;359;346,2;349,4;327;317,7;311,5;352,6;407,6;421,2;434,4;440,8;414,4;380;352,6;333,4;308,4;296;276,8;264;251,6;239,2;233;220,6;214,4;208,2;205,1;202;208,2;245,4;308,4;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
65310000;2;01/09/1931;;1;1;1300;280;862,43;28;9;1;1;1;;0;320,8;320,8;323,9;327;320,8;314,6;296;283,2;280;376,5;636,6;669;756,7;969;1057;1075;1120;1234;1250;1259;1259;1268;1268;1277;1277;1286;1295;1300;1259;1194;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;;
65310000;2;01/10/1931;;1;1;1135;327;658,2065;1;31;1;1;1;;0;1135;1075;1048;1014;956,4;897,8;816;768,4;669;596;540,6;527;582;654,6;684,2;699,4;707;699,4;676,6;633;603,4;568;537,2;513,4;473,2;434,4;414,4;394;387;373;327;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
65310000;2;01/11/1931;;1;1;369,5;233;309,95;13;23;1;1;1;;0;311,5;302,2;308,4;299,1;292,8;292,8;289,6;292,8;308,4;327;339,8;362,5;369,5;359;366;359;349,4;317,7;292,8;273,6;254,7;257,8;233;236,1;254,7;311,5;336,6;339,8;333,4;327;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;;
